Brand,Comments,Labels
BAHLOfficial,How I can get credit card,Neutral
BAHLOfficial,Kya Naya Pakistan scheme k that apka bank loan de RHA ha?,Neutral
BAHLOfficial,Can I get debit card without account opening?,Neutral
BAHLOfficial,"Sir, Cretid card kelia kya karna hoga.",Neutral
BAHLOfficial,What is the process i need to replace old one with it????,Neutral
BAHLOfficial,"Mjhy al habib men account khulwana h.
Salry k liye best bank konsi h?",Neutral
BAHLOfficial,"Can i need its or use to old card. Tariq Road branch.
farhanasultsn",Neutral
BAHLOfficial,Please confirm I am send tha documents butt not responding,Neutral
BAHLOfficial,How do i collect?,Neutral
BAHLOfficial,Is it free? Or any charges??,Neutral
BAHLOfficial,Sr mera bahl me acaunt he ghlti se father name zarqoot khan ki jga zaqoot khan likh dia he bank walo. Name ki speling sahi krni he kia krna hoga mujhe,Neutral
BAHLOfficial,Sir my ATM card is deactivated. What I have to do.,Neutral
BAHLOfficial,Using gold visa card,Neutral
BAHLOfficial,Charges ha isky,Neutral
BAHLOfficial,EMV means?,Neutral
BAHLOfficial,Muhammad Rizwan,Neutral
BAHLOfficial,What about kabor? Is it increasing or decreasing???,Neutral
BAHLOfficial,How to activate new card. I already collect new card,Neutral
BAHLOfficial,I have a account in bank Al Habib so tell me how I get loan?,Neutral
BAHLOfficial,Shah Noor Khan what's this ?,Neutral
BAHLOfficial,Masoom Zaidi,Neutral
BAHLOfficial,Agr kisi ko Apna account num NA pta ho to? Wht to do for ths?,Neutral
BAHLOfficial,Are we can apply online for bank account??,Neutral
BAHLOfficial,TJ Tariq Jamal,Neutral
BAHLOfficial,Murtazakhowaja Khowwja,Neutral
BAHLOfficial,M Ameen Langove,Neutral
BAHLOfficial,Is there any mobile application available...,Neutral
BAHLOfficial,I want a bike in your bank,Neutral
BAHLOfficial,I have gotten a message of prize pond of 25000 can you Please guide me about this,Neutral
BAHLOfficial,Laboratory service sirf senior citizens k liye ha ya koi bh use kar sakta ha,Neutral
BAHLOfficial,Try AKUH for same facility.tks,Neutral
BAHLOfficial,What is the process of car on instalments,Neutral
BAHLOfficial,Mera Account hai Al habib men apne famly ke insurance js hmen medical card jo hota hai oh chahe agr aise palyse hai to Muje tafsel bejhna,Neutral
BAHLOfficial,Which card is max limit??,Neutral
BAHLOfficial,What is a profit of saving accounts? Plz give detail,Neutral
BAHLOfficial,I want information about loan?,Neutral
BAHLOfficial,Loan process please btao,Neutral
BAHLOfficial,Do you have any branch at noshehra wirkan?,Neutral
BAHLOfficial,My card is pay pak,Neutral
BAHLOfficial,Kasur any branch?,Neutral
BAHLOfficial,Salam fees me agar use kerye to disconte milyega ya ni,Neutral
BAHLOfficial,Bank al habib ki card annual fee kia hai,Neutral
BAHLOfficial,Bank Habib Mein hub ka manager ka ravaiya dost Nahin,Neutral
BAHLOfficial,Any discount on food panda with visa card?,Neutral
BAHLOfficial,AK city say dusray city Mai money deposit krne k kitne charges Hain Apne he account mai,Neutral
BAHLOfficial,is there any debit card of BAHL which is allow online shoppings ?,Neutral
BAHLOfficial,Ali Dogar,Neutral
BAHLOfficial,Shahzad Aftab,Neutral
BAHLOfficial,paypak,Neutral
BAHLOfficial,Haresh Panjwani,Neutral
BAHLOfficial,Limit and which card ?,Neutral
BAHLOfficial,Syed Zeeshan Ali,Neutral
BAHLOfficial,Muhammad Asim,Neutral
BAHLOfficial,Amir Ali Rajwani,Neutral
BAHLOfficial,Kuch to aya alhabib pe 😁🤣Madeeha Kalani,Neutral
BAHLOfficial,Loan chahae,Neutral
BAHLOfficial,Kitny pesy sy accnt bnta hy,Neutral
BAHLOfficial,I want information about loan???,Neutral
BAHLOfficial,Hassan Nooruddin,Neutral
BAHLOfficial,Zainab Malik Jaweria Hassan Talha Zaidi Syed Khizer Zaidi,Neutral
BAHLOfficial,Syed Haider Ali Rizvi,Neutral
BAHLOfficial,Aaqib Karim Alhabib ♥️,Neutral
BAHLOfficial,"Cross checq katna dino mi process hota hai,mara account bank al habib mi hai or checq Mazan bank ka hai mara name ka",Neutral
BAHLOfficial,Ful details plz or kis basic or loan my ga markup ktna hoga,Neutral
BAHLOfficial,Detail all plzz,Neutral
BAHLOfficial,Aoa what is the procedure of loan for students ??,Neutral
BAHLOfficial,How to apply,Neutral
BAHLOfficial,Wht is procedure to apply,Neutral
BAHLOfficial,Detail,Neutral
BAHLOfficial,Details please,Neutral
BAHLOfficial,Details,Neutral
BAHLOfficial,Plz procedure bstayen,Neutral
BAHLOfficial,Details plz,Neutral
BAHLOfficial,what is your need,Neutral
BAHLOfficial,Detail please,Neutral
BAHLOfficial,Detail?,Neutral
BAHLOfficial,Pleasee detail,Neutral
BAHLOfficial,Kaisey.tell me in detail.,Neutral
BAHLOfficial,Plz guide is there any form fee or not if yes so its refundable or not,Neutral
BAHLOfficial,Details?,Neutral
BAHLOfficial,what a procedure??,Neutral
BAHLOfficial,Hello,Neutral
BAHLOfficial,Details plz?,Neutral
BAHLOfficial,Details pilz sain,Neutral
BAHLOfficial,Detail All plzzzz,Neutral
BAHLOfficial,Details plz????,Neutral
BAHLOfficial,Waqas Khatri,Neutral
BAHLOfficial,Detail's?,Neutral
BAHLOfficial,Detail plz,Neutral
BAHLOfficial,Please detal me,Neutral
BAHLOfficial,Detail's plz,Neutral
BAHLOfficial,House loan mark up or detail,Neutral
BAHLOfficial,Furqan Bin Asif,Neutral
BAHLOfficial,Shahid Qureshi,Neutral
BAHLOfficial,Asad Nadeem,Neutral
BAHLOfficial,Can we get this for more than 1 on 1 debit card,Neutral
BAHLOfficial,Easy paysa card pr hy yeah offer wo bhi union pay hy?,Neutral
BAHLOfficial,Is it available for #bahl debit card?,Neutral
BAHLOfficial,Silver debit card se mill jaegi ye deal Kia?,Neutral
BAHLOfficial,Online order facility available hai?,Neutral
BAHLOfficial,Abdullah Sheikh,Neutral
BAHLOfficial,Atm per hai sahulat yae,Neutral
BAHLOfficial,Is this deal still available,Neutral
BAHLOfficial,Yeh sirf dine inn ke liye ?,Neutral
BAHLOfficial,Dine in or take away??,Neutral
BAHLOfficial,Yousuf Khan Usama Iftikhar Ahmed,Neutral
BAHLOfficial,Gold Visa card se hoga ye,Neutral
BAHLOfficial,Kb tk ha offr,Neutral
BAHLOfficial,How to register al habib mobile app?,Neutral
BAHLOfficial,Timing ?,Neutral
BAHLOfficial,Muniza Irfan tumare pass union pay wala hai na:p,Neutral
BAHLOfficial,Muhammad Adeel Siddiqui,Neutral
BAHLOfficial,Jawwad Naqvi,Neutral
BAHLOfficial,Hassan Raza kal le aao,Neutral
BAHLOfficial,Saba Malik Rimsha Ehsan Sana Ahsan yai hamesha ghalat time pay deals kue ati ha😯😏,Neutral
BAHLOfficial,Rehman Ahmed RA,Neutral
BAHLOfficial,Tera yahi account hai phir kab khila raha hai Nelson Saleem,Neutral
BAHLOfficial,Muneeb Younus deal mangwani hai tu bhai hazir hai 😉,Neutral
BAHLOfficial,Uzma Ali Sunday ko chalty ha,Neutral
BAHLOfficial,Asghar Ali Ghanchi khila raha ho??,Neutral
BAHLOfficial,Syed Mohammad Moosa Abidichalin? I,Neutral
BAHLOfficial,Noman Hassan,Neutral
BAHLOfficial,Umair Aslam,Neutral
BAHLOfficial,Piya Hardas,Neutral
BAHLOfficial,Aun Muhammad,Neutral
BAHLOfficial,Abdul Samie,Neutral
BAHLOfficial,Urva Tul Wusqa,Neutral
BAHLOfficial,Hadi Raza,Neutral
BAHLOfficial,Nausheen Saleem,Neutral
BAHLOfficial,Is online order facility available?,Neutral
BAHLOfficial,Is it availaible for debit card?,Neutral
BAHLOfficial,Aemi Shah Sheikh Umair Hassan Siddiqui 😁 kn khlyega ??,Neutral
BAHLOfficial,Azhar Sheraz bhaa kia mood hai,Neutral
BAHLOfficial,Assalam o Allaikum Orangi town branch code ? Btaskty hein,Neutral
BAHLOfficial,"Rana Iftikhar
Rana sab can we avail on our new NBP card???",Neutral
BAHLOfficial,Ahmad Raza,Neutral
BAHLOfficial,Abu Musa Asif Lilla chalien?,Neutral
BAHLOfficial,Kashif Murtaza Sajid Raza Naqvi Syed Sajid Raza Naqvi,Neutral
BAHLOfficial,Muhammad Adil,Neutral
BAHLOfficial,Saba Fatima,Neutral
BAHLOfficial,Adil Khan Hamid Ali Soomro Aman Sanghar srf 999 m,Neutral
BAHLOfficial,Abdul Haseeb Shaikh,Neutral
BAHLOfficial,ShErry KhAn union card hainaa tery pass...🤗,Neutral
BAHLOfficial,Syed Shahrukh 😜😝😆😍😍,Neutral
BAHLOfficial,Zohaib Khan,Neutral
BAHLOfficial,Zeeshan,Neutral
BAHLOfficial,Mohammed Hashir Reyan Mohibullah Asad,Neutral
BAHLOfficial,Aftab Bhatti,Neutral
BAHLOfficial,Syed Saad,Neutral
BAHLOfficial,Ally Imam,Neutral
BAHLOfficial,"Abdul Jabar
Mubashir Kamal
Atm ha bro es bank ka 😂",Neutral
BAHLOfficial,Raja Adil,Neutral
BAHLOfficial,Engr Aamir Ullah,Neutral
BAHLOfficial,Owais Noorani,Neutral
BAHLOfficial,Ali Irtaza,Neutral
BAHLOfficial,Ali Azhar Nabeel Mughal,Neutral
BAHLOfficial,Ammara Sandhu buy me,Neutral
BAHLOfficial,Bhi kisay order Karon I hv card,Neutral
BAHLOfficial,Midhat Zehra Azher,Neutral
BAHLOfficial,Sohail Khan,Neutral
BAHLOfficial,Bilal,Neutral
BAHLOfficial,Aimen Haseeb,Neutral
BAHLOfficial,Saad Malik,Neutral
BAHLOfficial,Alia Jafri,Neutral
BAHLOfficial,Usman Baig,Neutral
BAHLOfficial,Mirza Sajjad Baig,Neutral
BAHLOfficial,Maham IQbal Zehra Batool Rizvi Ammama Kidwai Seema Sagittarius,Neutral
BAHLOfficial,Ammara Saeed Abeer Saeed Muhammad Umer Saeed,Neutral
BAHLOfficial,Junaid Aziz Gurmani,Neutral
BAHLOfficial,Chaudhry Muhammad Awais Jatala,Neutral
BAHLOfficial,Saba Fatima bhabi,Neutral
BAHLOfficial,Zubair Ahmed Sheikh,Neutral
BAHLOfficial,Your card Usman A. Hussain,Neutral
BAHLOfficial,Saddam Memon,Neutral
BAHLOfficial,Low coast home scheme any special discount of govt enployee,Neutral
BAHLOfficial,Charges of e-statement ?,Neutral
BAHLOfficial,Sir I want open account,Neutral
BAHLOfficial,Butt I am leave in saudia makkah,Neutral
BAHLOfficial,Can you please tell me about home loan.,Neutral
BAHLOfficial,I need a job,Neutral
BAHLOfficial,Sir ma bank al habib ma account ha ma amail change karto ho online change kar sakta ho,Neutral
BAHLOfficial,UAE sy bank account open ho jayy ga ya naii,Neutral
BAHLOfficial,Mujy mlti ha hr mah,Neutral
BAHLOfficial,Sir muja besunes kalya loon chaheya,Neutral
BAHLOfficial,Maharukh Cochinwala,Neutral
BAHLOfficial,Ac/ register ni ho raha q,Neutral
BAHLOfficial,Dear sir for Registration process the requirment is to fill the form . And where account number is to be filled by 17 character . But sir in our check book the account number is having only 16 . plz hlp .,Neutral
BAHLOfficial,Want job in alhabib bank,Neutral
BAHLOfficial,Sukkur walon k liye hai yeh discount,Neutral
BAHLOfficial,"Your discount only for all karachi,",Neutral
BAHLOfficial,Bank Al Habib Ka App Free he ya Koie Chargis he,Neutral
BAHLOfficial,Medical discount kaha kaha ho sakta hai hospital name,Neutral
BAHLOfficial,Which one is your maximum limit card for the day???,Neutral
BAHLOfficial,What about peshawer?,Neutral
BAHLOfficial,What about kahirpur mirs?,Neutral
BAHLOfficial,Well Ahmed Saeed,Neutral
BAHLOfficial,Online banking information,Neutral
BAHLOfficial,Credit cards information,Neutral
BAHLOfficial,Please send details . How can be applied and what are the charges,Neutral
BAHLOfficial,Does bank alhabib gives credit card?,Neutral
BAHLOfficial,Please start credit card facility for Muzaffargarh also.,Neutral
BAHLOfficial,Does bank Al Habib gives credit card?,Neutral
BAHLOfficial,How mxh salary is required,Neutral
BAHLOfficial,Kindly Send us BAHL Mobil App linck .,Neutral
BAHLOfficial,How to apply bank al habib master card or credit card . I have gold debit card,Neutral
BAHLOfficial,Ghar banany k liay loan ka procedure kia hy,Neutral
BAHLOfficial,do u have any job,Neutral
BAHLOfficial,How to apply for credit card,Neutral
BAHLOfficial,How to register account in BAHL mobile app plz support I'm very worried about that🤦‍♂️,Neutral
BAHLOfficial,I have union debit card but I want master debit card. Tell me how can I get this?,Neutral
BAHLOfficial,Kindly send me your link app,Neutral
BAHLOfficial,"How can i get BAHL Master Card?
Currently i have debit card",Neutral
BAHLOfficial,"I have unionpay debit card against my acct , can i chang with master card ?",Neutral
BAHLOfficial,Bank al habib mai credit card kay liye. Minimum kitni salrly reqiured hai,Neutral
BAHLOfficial,Yar bahl ka mobile app ku nahi hai,Neutral
BAHLOfficial,Are there any charges of mobile banking through app ???,Neutral
BAHLOfficial,I want Bank Al Habib Credit Card. I am Owner of Ideas Smart Marketing Pvt.Ltd. .Also have a account in your firm,Neutral
BAHLOfficial,Maximum eligibility of credit card ?,Neutral
BAHLOfficial,Card banwana hen bank al habib ks credit card,Neutral
BAHLOfficial,can i get this mastercard free?,Neutral
BAHLOfficial,Bank al falah credit card ka bill bhe bank al habib *808# se pay kar sakte hain,Neutral
BAHLOfficial,Reply me,Neutral
BAHLOfficial,"Aoa

If we have bank Alhabib account and activate internet banking, so
Can we pay other banks credit card bills.

If yes, what is the process? And charges?",Neutral
BAHLOfficial,Is bank ki mobile app hai?,Neutral
BAHLOfficial,Kon se branch sa bany ga,Neutral
BAHLOfficial,Hamza Hussain,Neutral
BAHLOfficial,Need,Neutral
BAHLOfficial,Bank Al Habib Gadap Branch Karachi ka Branch Coad koi bata sakta ha...??,Neutral
BAHLOfficial,Assan account pe Mastercard mile ga,Neutral
BAHLOfficial,Rana Haseeb,Neutral
BAHLOfficial,Hafiz Saeed ???,Neutral
BAHLOfficial,How to apply for credit card ??,Neutral
BAHLOfficial,"How can I apply for the mastercard. Provide me it's detail.
Tks",Neutral
BAHLOfficial,Sir I want to do internet banking but when I try to sign in that show your enter email is not found according to ur account details. Kindly inform me how to start my I banking or I would have to go my branch ?,Neutral
BAHLOfficial,I have account at all Habib bank islamic can I apply credit card,Neutral
BAHLOfficial,Al Habib bank me account open karnay Kay liey Kiya documents available chahiey hotay Han....,Neutral
BAHLOfficial,Rehmat Ullah Afridi,Neutral
BAHLOfficial,Is Bank AL Habib Limited launching platinium card if yes plesse share its details and features,Neutral
BAHLOfficial,"I want to apply for credit card, any guidance?",Neutral
BAHLOfficial,I am interested what documenit are reqir i am govt offishil,Neutral
BAHLOfficial,Overseas Pakistani can apply?,Neutral
BAHLOfficial,plz inbox detail i am a valuable customer of Bank Al Habib pvt,Neutral
BAHLOfficial,Inbox details plz,Neutral
BAHLOfficial,Kindly inbox me the procedure ?,Neutral
BAHLOfficial,Eligibility criteria,Neutral
BAHLOfficial,please sand details,Neutral
BAHLOfficial,"Sir iam out of pakistan
How do i know about ma BAHL Account that is it active or not",Neutral
BAHLOfficial,Procedure?,Neutral
BAHLOfficial,How can Overseas pakistani apply?,Neutral
BAHLOfficial,Alhabib ki aplication kesy bnti hai koi kisi ko pata hai,Neutral
BAHLOfficial,Bhai jaan mujhe iba account chahiye,Neutral
BAHLOfficial,Interested,Neutral
BAHLOfficial,I'm interested,Neutral
BAHLOfficial,Kaisey?,Neutral
BAHLOfficial,Detal plz,Neutral
BAHLOfficial,How I reopne to my account again I have been stay in u a e last 3year,Neutral
BAHLOfficial,Salahuddin Ayubi,Neutral
BAHLOfficial,share detail plz,Neutral
BAHLOfficial,Amin Ch,Neutral
BAHLOfficial,Only bank al habib account holder avail this? Or every person,Neutral
BAHLOfficial,Mark up or detail,Neutral
BAHLOfficial,Kindly sir guide me about low cost housing scheme loan as I'm a government Servant and draw salary from NBP Account I'm also Bank Al Habib account holder. I have need of Rs. 1000000 for house construction.,Neutral
BAHLOfficial,I need credit card,Neutral
BAHLOfficial,Detail insurance,Neutral
BAHLOfficial,Help me open account,Neutral
BAHLOfficial,Respected dear sir please service provide kro,Neutral
BAHLOfficial,How can I open salrey account in al Habib which documents required? Nd charges?,Neutral
BAHLOfficial,read inbox,Neutral
BAHLOfficial,What is profit percentage saving account/ value account write now?,Neutral
BAHLOfficial,Today my new account bank al Habib Limited tandlianwala new brancho,Neutral
BAHLOfficial,Please tell me can wr open two accounts ???,Neutral
BAHLOfficial,Why your bank not giving the online facilities for electricity bills payment of FESCO in your app,Neutral
BAHLOfficial,Kiyà plan h saving ka plz share detail,Neutral
BAHLOfficial,Which one plan or policy,Neutral
BAHLOfficial,Mara poto tha apk bank al habib Rawalpindi saddar main keya o open hoga ya nahe plz cheek kry,Neutral
BAHLOfficial,Dear post urdu m keya karo,Neutral
BAHLOfficial,Which card is For international use likd PayPal or payoneer,Neutral
BAHLOfficial,Can you share procedure?,Neutral
BAHLOfficial,Insurance?,Neutral
BAHLOfficial,How,Neutral
BAHLOfficial,WHAT IS TAX RATE ON PROFIT IN MONTHLY SAVER ACCOUNT???? PLZ GUIDE,Neutral
BAHLOfficial,"BAHL is provide us the onlion bank account checking App...?
Please .....",Neutral
BAHLOfficial,Saving rate,Neutral
BAHLOfficial,How can open account plz sir guidance for this,Neutral
BAHLOfficial,"How can open accounts, and require documents.",Neutral
BAHLOfficial,Mujhe a apni e dukaan kholne ke liye Kuchh karna chahie karja chahie,Neutral
BAHLOfficial,Apki ki Branch sarjani town me kb bane gi,Neutral
BAHLOfficial,How I send remittance to india pls in derail,Neutral
BAHLOfficial,I am account holder at BAH bilawal chok branch,Neutral
BAHLOfficial,apply Ka 14 Last date tha,Neutral
BAHLOfficial,Verified documents why?,Neutral
BAHLOfficial,Account banana Ka leya cinic card zarori hai kya,Neutral
BAHLOfficial,Assalamu Alaikum,Neutral
BAHLOfficial,abi recently ju job aye thy uska Tu koi pta nh Chala.,Neutral
BAHLOfficial,Branch need,Neutral
BAHLOfficial,Mujy apna ghar bany kay lia qarza chahya,Neutral
BAHLOfficial,Saveing account information,Neutral
BAHLOfficial,"My ATM card was old, when I used it, the same was blocked by ATM machine, Main Branch Skd.
Please guide me for new ATM card.",Neutral
BAHLOfficial,I have gold color debit card. Is this is used overseas specially in china beijing,Neutral
BAHLOfficial,How can we get info about limit of our atm card?,Neutral
BAHLOfficial,Sir mera account dormnate ho gya ha ma account reactive krwana chahta hn please guide me?,Neutral
BAHLOfficial,Sir me private job karta ho Mujhe Naya Pakistan housing loan chahiye is k liye kiya Requirement h,Neutral
BAHLOfficial,Overseas which have no bank account ..how can they submit their pay order in pak,Neutral
BAHLOfficial,Do you have a prepaid card for online shopping?,Neutral
BAHLOfficial,online banking karani h apki agile app per wo active kese hogi plz tariqa bataden,Neutral
BAHLOfficial,Mujhy swift code chahiye ya IBM code,Neutral
BAHLOfficial,Laon ky bar mian infarmtion chahye,Neutral
BAHLOfficial,My 'apna current plus debit card' doesn't work at 'POS'. How can i use it for purchase anything?,Neutral
BAHLOfficial,Kia ap ki app sy paisy transfer kiye ja skty online,Neutral
BAHLOfficial,Visa card banvana kai lia kaya karna hoga mai nai banvana hai,Neutral
BAHLOfficial,don't you offer master debit card?,Neutral
BAHLOfficial,Credit card I need,Neutral
BAHLOfficial,how i chang my card union apy to pay pak???,Neutral
BAHLOfficial,Aoa.. sir Mari age 25 sy above hy ....Kya Mai MTO k ly apply kr sakta hun????,Neutral
BAHLOfficial,mera pakistan mera ghar loan keliye mujhe maoomat darkaar hai ....,Neutral
BAHLOfficial,How can i get credit card,Neutral
BAHLOfficial,"I have a bank account in bank Al Habib I have union pay debit card I want visa debit card what is the process for get it,I want to invest some money 💰 in out of country on some web,but union pay debit card didn't work on this,
Then I want to get visa debit card please guide me how I can change my union pay debit card to Visa debit card",Neutral
BAHLOfficial,How can I convert my Union pay card into viza card?,Neutral
BAHLOfficial,Do you have credit cards ?,Neutral
BAHLOfficial,Js card ki limt 40 ha wo 50 nahe ho skti,Neutral
BAHLOfficial,Union card pay Kya Kya facilities hai,Neutral
BAHLOfficial,I am account holder of BAHL. Meray aik hi branch me 2 accounts hain aur dono accounts k alag alag ATM card. I want to link both acconts to one Card. Sir is possible,Neutral
BAHLOfficial,Bro internate banking me bill payment ka biller option q nahi raha he bill pay krne k lye plz give m a solution..,Neutral
BAHLOfficial,I have apina current account,Neutral
BAHLOfficial,How can i active my mobil banking???,Neutral
BAHLOfficial,"Assllamu Allaikum.. sir i need a bank account..
plz send asan account open information and plz send atm card annule fee informitaion",Neutral
BAHLOfficial,Facilitation of all cards ??,Neutral
BAHLOfficial,Housing scheme details send me,Neutral
BAHLOfficial,How can I link my other accounts with AL Habib Mobile?,Neutral
BAHLOfficial,"AOA
bro I live in Saudi Arabia how can I login my bank Al habib account in Bank Al habib app.....
Please give detailed info. Thanks",Neutral
BAHLOfficial,Kindly international transaction open krein....,Neutral
BAHLOfficial,Online banking available?,Neutral
BAHLOfficial,"How can i get visa card??
I have union pay",Neutral
BAHLOfficial,Credit card i need plz tel me instructions,Neutral
BAHLOfficial,Sheraz Khan,Neutral
BAHLOfficial,What about when we call for something they ask everything,Neutral
BAHLOfficial,I want to use online account on mobile how can I use any information,Neutral
BAHLOfficial,Bank Al Habib Mobile App use karni ki liye kiya karna parta he wo ID kese banti he mene app apen kiya to usme user nam and passward mang rahe he,Neutral
BAHLOfficial,Please tell me... What is the procedure mobile balance load through our bank account.,Neutral
BAHLOfficial,What is the Bank Policy if we need to make online international Trancation in Dollars ?,Neutral
BAHLOfficial,Some days ago you share a post of NPHP housing scheme please let me know about what is the requirements and how to apply..?,Neutral
